id,date,year_week,product_number,prod_category_1,prod_category_2,prod_category_3,prod_category_4,prod_category_5,prod_category_6,prod_category_7,specs,display_size,segment_1,segment_2,segment_3,setmana,sales_units,inventory_units
202144-6909,2021-11-06,202144,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,44,0.0,182.0
202146-6909,2021-11-20,202146,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,46,62.0,137.0
202147-6909,2021-11-27,202147,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,47,43.0,95.0
202148-6909,2021-12-04,202148,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,48,81.0,48.0
202149-6909,2021-12-11,202149,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,49,18.0,27.0
202150-6909,2021-12-18,202150,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,50,7.0,16.0
202151-6909,2021-12-25,202151,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,51,2.0,13.0
202152-6909,2022-01-01,202152,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,52,1.0,11.0
202201-6909,2022-01-08,202201,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,1,1.0,9.0
202202-6909,2022-01-15,202202,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,2,0.0,9.0
202203-6909,2022-01-22,202203,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,3,0.0,12.0
202204-6909,2022-01-29,202204,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,4,0.0,13.0
202205-6909,2022-02-05,202205,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,5,0.0,18.0
202206-6909,2022-02-12,202206,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,6,0.0,18.0
202207-6909,2022-02-19,202207,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,7,4.0,12.0
202208-6909,2022-02-26,202208,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,8,13.0,5.0
202209-6909,2022-03-05,202209,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,9,2.0,2.0
202210-6909,2022-03-12,202210,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,10,0.0,1.0
202211-6909,2022-03-19,202211,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,11,0.0,1.0
202212-6909,2022-03-26,202212,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,12,0.0,1.0
202213-6909,2022-04-02,202213,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,13,0.0,0.0
202214-6909,2022-04-09,202214,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,14,0.0,0.0
202215-6909,2022-04-16,202215,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,15,1.0,1.0
202216-6909,2022-04-23,202216,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,16,2.0,2.0
202217-6909,2022-04-30,202217,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,17,1.0,0.0
202219-6909,2022-05-14,202219,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,19,0.0,3.0
202220-6909,2022-05-21,202220,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,20,0.0,4.0
202221-6909,2022-05-28,202221,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,21,0.0,8.0
202223-6909,2022-06-11,202223,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,23,1.0,18.0
202224-6909,2022-06-18,202224,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,24,57.0,161.0
202225-6909,2022-06-25,202225,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,25,31.0,162.0
202226-6909,2022-07-02,202226,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,26,49.0,88.0
202227-6909,2022-07-09,202227,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,27,20.0,37.0
202228-6909,2022-07-16,202228,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,28,4.0,30.0
202229-6909,2022-07-23,202229,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,29,0.0,38.0
202230-6909,2022-07-30,202230,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,30,26.0,70.0
202231-6909,2022-08-06,202231,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,31,3.0,94.0
202232-6909,2022-08-13,202232,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,32,51.0,96.0
202233-6909,2022-08-20,202233,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,33,2.0,104.0
202234-6909,2022-08-27,202234,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,34,30.0,65.0
202235-6909,2022-09-03,202235,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,35,7.0,57.0
202236-6909,2022-09-10,202236,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,36,10.0,47.0
202237-6909,2022-09-17,202237,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,37,0.0,57.0
202238-6909,2022-09-24,202238,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,38,28.0,79.0
202239-6909,2022-10-01,202239,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,39,0.0,145.0
202240-6909,2022-10-08,202240,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,40,76.0,77.0
202241-6909,2022-10-15,202241,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,41,46.0,31.0
202242-6909,2022-10-22,202242,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,42,41.0,24.0
202243-6909,2022-10-29,202243,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,43,44.0,22.0
202244-6909,2022-11-05,202244,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,44,40.0,35.0
202245-6909,2022-11-12,202245,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,45,53.0,51.0
202246-6909,2022-11-19,202246,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,46,6.0,26.0
202247-6909,2022-11-26,202247,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,47,3.0,33.0
202248-6909,2022-12-03,202248,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,48,40.0,55.0
202249-6909,2022-12-10,202249,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,49,1.0,77.0
202250-6909,2022-12-17,202250,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,50,2.0,128.0
202251-6909,2022-12-24,202251,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,51,8.0,85.0
202252-6909,2022-12-31,202252,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,52,8.0,106.0
202301-6909,2023-01-07,202301,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,1,27.0,33.0
202302-6909,2023-01-14,202302,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,2,12.0,53.0
202303-6909,2023-01-21,202303,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,3,19.0,6.0
202304-6909,2023-01-28,202304,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,4,3.0,42.0
202305-6909,2023-02-04,202305,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,5,11.0,1.0
202306-6909,2023-02-11,202306,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,6,2.0,37.0
202307-6909,2023-02-18,202307,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,7,20.0,32.0
202308-6909,2023-02-25,202308,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,8,14.0,25.0
202309-6909,2023-03-04,202309,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,9,3.0,27.0
202310-6909,2023-03-11,202310,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,10,59.0,40.0
202311-6909,2023-03-18,202311,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,11,8.0,32.0
202312-6909,2023-03-25,202312,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,12,0.0,38.0
202313-6909,2023-04-01,202313,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,13,78.0,46.0
202314-6909,2023-04-08,202314,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,14,0.0,109.0
202315-6909,2023-04-15,202315,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,15,1.0,159.0
202316-6909,2023-04-22,202316,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,16,34.0,113.0
202317-6909,2023-04-29,202317,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,17,143.0,90.0
202318-6909,2023-05-06,202318,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,18,26.0,88.0
202119-7896,2021-05-15,202119,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,19,0.0,17.0
202120-7896,2021-05-22,202120,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,20,0.0,31.0
202121-7896,2021-05-29,202121,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,21,0.0,64.0
202122-7896,2021-06-05,202122,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,22,9.0,55.0
202123-7896,2021-06-12,202123,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,23,4.0,49.0
202124-7896,2021-06-19,202124,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,24,0.0,71.0
202125-7896,2021-06-26,202125,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,25,7.0,93.0
202126-7896,2021-07-03,202126,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,26,22.0,62.0
202127-7896,2021-07-10,202127,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,27,4.0,69.0
202128-7896,2021-07-17,202128,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,28,24.0,33.0
202129-7896,2021-07-24,202129,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,29,10.0,17.0
202130-7896,2021-07-31,202130,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,30,4.0,12.0
202131-7896,2021-08-07,202131,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,31,0.0,16.0
202132-7896,2021-08-14,202132,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,32,1.0,31.0
202133-7896,2021-08-21,202133,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,33,4.0,38.0
202134-7896,2021-08-28,202134,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,34,0.0,68.0
202135-7896,2021-09-04,202135,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,35,11.0,140.0
202136-7896,2021-09-11,202136,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,36,11.0,164.0
202137-7896,2021-09-18,202137,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,37,48.0,130.0
202138-7896,2021-09-25,202138,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,38,0.0,171.0
202139-7896,2021-10-02,202139,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,39,12.0,153.0
202140-7896,2021-10-09,202140,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,40,42.0,91.0
202141-7896,2021-10-16,202141,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,41,10.0,82.0
202142-7896,2021-10-23,202142,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,42,126.0,75.0
202143-7896,2021-10-30,202143,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,43,24.0,43.0
202144-7896,2021-11-06,202144,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,44,28.0,38.0
202146-7896,2021-11-20,202146,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,46,19.0,55.0
202147-7896,2021-11-27,202147,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,47,18.0,57.0
202148-7896,2021-12-04,202148,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,48,26.0,0.0
202149-7896,2021-12-11,202149,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,49,18.0,24.0
202150-7896,2021-12-18,202150,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,50,11.0,34.0
202151-7896,2021-12-25,202151,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,51,22.0,21.0
202152-7896,2022-01-01,202152,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,52,3.0,16.0
202201-7896,2022-01-08,202201,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,1,0.0,22.0
202202-7896,2022-01-15,202202,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,2,2.0,42.0
202203-7896,2022-01-22,202203,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,3,5.0,60.0
202204-7896,2022-01-29,202204,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,4,0.0,116.0
202205-7896,2022-02-05,202205,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,5,1.0,118.0
202206-7896,2022-02-12,202206,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,6,0.0,136.0
202207-7896,2022-02-19,202207,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,7,1.0,180.0
202208-7896,2022-02-26,202208,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,8,59.0,91.0
202209-7896,2022-03-05,202209,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,9,26.0,51.0
202210-7896,2022-03-12,202210,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,10,5.0,43.0
202211-7896,2022-03-19,202211,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,11,8.0,61.0
202212-7896,2022-03-26,202212,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,12,7.0,55.0
202213-7896,2022-04-02,202213,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,13,0.0,84.0
202214-7896,2022-04-09,202214,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,14,10.0,76.0
202215-7896,2022-04-16,202215,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,15,2.0,115.0
202216-7896,2022-04-23,202216,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,16,0.0,121.0
202217-7896,2022-04-30,202217,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,17,16.0,97.0
202219-7896,2022-05-14,202219,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,19,28.0,55.0
202220-7896,2022-05-21,202220,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,20,4.0,48.0
202221-7896,2022-05-28,202221,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,21,0.0,62.0
202223-7896,2022-06-11,202223,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,23,0.0,115.0
202224-7896,2022-06-18,202224,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,24,16.0,91.0
202225-7896,2022-06-25,202225,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,25,41.0,121.0
202226-7896,2022-07-02,202226,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,26,3.0,167.0
202227-7896,2022-07-09,202227,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,27,0.0,14.0
202228-7896,2022-07-16,202228,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,28,5.0,30.0
202229-7896,2022-07-23,202229,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,29,0.0,66.0
202230-7896,2022-07-30,202230,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,30,11.0,139.0
202231-7896,2022-08-06,202231,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,31,78.0,181.0
202232-7896,2022-08-13,202232,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,32,20.0,154.0
202233-7896,2022-08-20,202233,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,33,67.0,92.0
202234-7896,2022-08-27,202234,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,34,12.0,40.0
202235-7896,2022-09-03,202235,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,35,17.0,65.0
202236-7896,2022-09-10,202236,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,36,10.0,85.0
202237-7896,2022-09-17,202237,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,37,4.0,102.0
202238-7896,2022-09-24,202238,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,38,69.0,80.0
202239-7896,2022-10-01,202239,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,39,25.0,92.0
202240-7896,2022-10-08,202240,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,40,22.0,65.0
202241-7896,2022-10-15,202241,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,41,0.0,14.0
202242-7896,2022-10-22,202242,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,42,42.0,97.0
202243-7896,2022-10-29,202243,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,43,2.0,179.0
202244-7896,2022-11-05,202244,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,44,7.0,133.0
202245-7896,2022-11-12,202245,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,45,3.0,258.0
202246-7896,2022-11-19,202246,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,46,0.0,165.0
202247-7896,2022-11-26,202247,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,47,37.0,294.0
202248-7896,2022-12-03,202248,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,48,38.0,243.0
202249-7896,2022-12-10,202249,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,49,71.0,196.0
202250-7896,2022-12-17,202250,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,50,70.0,178.0
202251-7896,2022-12-24,202251,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,51,0.0,150.0
202252-7896,2022-12-31,202252,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,52,22.0,284.0
202301-7896,2023-01-07,202301,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,1,16.0,201.0
202302-7896,2023-01-14,202302,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,2,34.0,219.0
202303-7896,2023-01-21,202303,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,3,0.0,197.0
202304-7896,2023-01-28,202304,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,4,133.0,220.0
202305-7896,2023-02-04,202305,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,5,40.0,52.0
202306-7896,2023-02-11,202306,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,6,20.0,169.0
202307-7896,2023-02-18,202307,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,7,30.0,104.0
202308-7896,2023-02-25,202308,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,8,67.0,57.0
202309-7896,2023-03-04,202309,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,9,36.0,46.0
202310-7896,2023-03-11,202310,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,10,4.0,66.0
202311-7896,2023-03-18,202311,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,11,0.0,130.0
202312-7896,2023-03-25,202312,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,12,21.0,176.0
202313-7896,2023-04-01,202313,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,13,72.0,175.0
202314-7896,2023-04-08,202314,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,14,6.0,279.0
202315-7896,2023-04-15,202315,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,15,21.0,223.0
202316-7896,2023-04-22,202316,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,16,46.0,262.0
202317-7896,2023-04-29,202317,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,17,95.0,229.0
202318-7896,2023-05-06,202318,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,18,62.0,135.0
202119-8883,2021-05-15,202119,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,19,132.0,218.0
202120-8883,2021-05-22,202120,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,20,98.0,147.0
202121-8883,2021-05-29,202121,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,21,45.0,165.0
202122-8883,2021-06-05,202122,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,22,31.0,180.0
202123-8883,2021-06-12,202123,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,23,19.0,188.0
202124-8883,2021-06-19,202124,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,24,32.0,259.0
202125-8883,2021-06-26,202125,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,25,70.0,326.0
202126-8883,2021-07-03,202126,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,26,24.0,337.0
202127-8883,2021-07-10,202127,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,27,102.0,236.0
202128-8883,2021-07-17,202128,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,28,100.0,145.0
202129-8883,2021-07-24,202129,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,29,44.0,141.0
202130-8883,2021-07-31,202130,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,30,55.0,149.0
202131-8883,2021-08-07,202131,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,31,64.0,122.0
202132-8883,2021-08-14,202132,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,32,32.0,141.0
202133-8883,2021-08-21,202133,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,33,156.0,89.0
202134-8883,2021-08-28,202134,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,34,90.0,94.0
202135-8883,2021-09-04,202135,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,35,68.0,145.0
202136-8883,2021-09-11,202136,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,36,56.0,173.0
202137-8883,2021-09-18,202137,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,37,97.0,172.0
202138-8883,2021-09-25,202138,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,38,7.0,275.0
202139-8883,2021-10-02,202139,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,39,68.0,56.0
202140-8883,2021-10-09,202140,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,40,21.0,148.0
202141-8883,2021-10-16,202141,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,41,29.0,124.0
202142-8883,2021-10-23,202142,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,42,74.0,101.0
202143-8883,2021-10-30,202143,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,43,0.0,141.0
202144-8883,2021-11-06,202144,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,44,30.0,83.0
202145-8883,2021-11-13,202145,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,45,4.0,76.0
202146-8883,2021-11-20,202146,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,46,34.0,160.0
202147-8883,2021-11-27,202147,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,47,34.0,114.0
202148-8883,2021-12-04,202148,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,48,22.0,45.0
202149-8883,2021-12-11,202149,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,49,11.0,94.0
202150-8883,2021-12-18,202150,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,50,12.0,106.0
202151-8883,2021-12-25,202151,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,51,0.0,148.0
202152-8883,2022-01-01,202152,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,52,40.0,78.0
202201-8883,2022-01-08,202201,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,1,28.0,37.0
202202-8883,2022-01-15,202202,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,2,9.0,23.0
202203-8883,2022-01-22,202203,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,3,2.0,26.0
202204-8883,2022-01-29,202204,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,4,3.0,48.0
202205-8883,2022-02-05,202205,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,5,12.0,83.0
202206-8883,2022-02-12,202206,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,6,8.0,169.0
202207-8883,2022-02-19,202207,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,7,9.0,123.0
202208-8883,2022-02-26,202208,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,8,1.0,128.0
202209-8883,2022-03-05,202209,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,9,9.0,197.0
202210-8883,2022-03-12,202210,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,10,28.0,154.0
202211-8883,2022-03-19,202211,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,11,0.0,175.0
202212-8883,2022-03-26,202212,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,12,8.0,387.0
202213-8883,2022-04-02,202213,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,13,37.0,171.0
202214-8883,2022-04-09,202214,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,14,13.0,319.0
