,id,date,year_week,product_number,prod_category_1,prod_category_2,prod_category_3,prod_category_4,prod_category_5,prod_category_6,prod_category_7,specs,display_size,segment_1,segment_2,segment_3,setmana,sales_units,inventory_units
35,202203-6909,2022-01-22,202203,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,3,0.0,12.0
36,202204-6909,2022-01-29,202204,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,4,0.0,13.0
37,202205-6909,2022-02-05,202205,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,5,0.0,18.0
38,202206-6909,2022-02-12,202206,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,6,0.0,18.0
39,202207-6909,2022-02-19,202207,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,7,4.0,12.0
40,202208-6909,2022-02-26,202208,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,8,13.0,5.0
41,202209-6909,2022-03-05,202209,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,9,2.0,2.0
42,202210-6909,2022-03-12,202210,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,10,0.0,1.0
43,202211-6909,2022-03-19,202211,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,11,0.0,1.0
44,202212-6909,2022-03-26,202212,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,12,0.0,1.0
45,202213-6909,2022-04-02,202213,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,13,0.0,0.5
46,202214-6909,2022-04-09,202214,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,14,0.0,0.0
47,202215-6909,2022-04-16,202215,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,15,1.0,1.0
48,202216-6909,2022-04-23,202216,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,16,2.0,2.0
49,202217-6909,2022-04-30,202217,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,17,1.0,2.5
50,202219-6909,2022-05-14,202219,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,19,0.0,3.0
51,202220-6909,2022-05-21,202220,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,20,0.0,4.0
52,202221-6909,2022-05-28,202221,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,21,0.0,8.0
53,202223-6909,2022-06-11,202223,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,23,1.0,18.0
54,202224-6909,2022-06-18,202224,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,24,57.0,139.0
55,202225-6909,2022-06-25,202225,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,25,0.0,22.0
56,202226-6909,2022-07-02,202226,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,26,31.0,140.0
57,202227-6909,2022-07-09,202227,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,27,0.0,22.0
58,202228-6909,2022-07-16,202228,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,28,48.0,68.0
59,202229-6909,2022-07-23,202229,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,29,1.0,20.0
60,202230-6909,2022-07-30,202230,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,30,20.0,37.0
61,202231-6909,2022-08-06,202231,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,31,4.0,30.0
62,202232-6909,2022-08-13,202232,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,32,15.0,38.0
63,202233-6909,2022-08-20,202233,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,33,26.0,70.0
64,202234-6909,2022-08-27,202234,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,34,0.0,79.0
65,202235-6909,2022-09-03,202235,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,35,3.0,15.0
66,202236-6909,2022-09-10,202236,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,36,47.0,86.0
67,202237-6909,2022-09-17,202237,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,37,4.0,10.0
68,202238-6909,2022-09-24,202238,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,38,0.0,104.0
69,202239-6909,2022-10-01,202239,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,39,2.0,81.0
70,202240-6909,2022-10-08,202240,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,40,30.0,58.0
71,202241-6909,2022-10-15,202241,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,41,0.0,7.0
72,202242-6909,2022-10-22,202242,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,42,7.0,47.0
73,202243-6909,2022-10-29,202243,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,43,0.0,10.0
74,202244-6909,2022-11-05,202244,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,44,8.0,35.0
75,202245-6909,2022-11-12,202245,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,45,2.0,12.0
76,202246-6909,2022-11-19,202246,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,46,0.0,46.0
77,202247-6909,2022-11-26,202247,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,47,0.0,11.0
78,202248-6909,2022-12-03,202248,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,48,26.0,71.0
79,202249-6909,2022-12-10,202249,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,49,2.0,8.0
80,202250-6909,2022-12-17,202250,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,50,0.0,137.0
81,202251-6909,2022-12-24,202251,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,51,0.0,8.0
82,202252-6909,2022-12-31,202252,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,52,76.0,65.0
83,202301-6909,2023-01-07,202301,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,1,0.0,12.0
84,202302-6909,2023-01-14,202302,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,2,46.0,31.0
85,202303-6909,2023-01-21,202303,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,3,39.0,16.0
86,202304-6909,2023-01-28,202304,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,4,2.0,8.0
87,202305-6909,2023-02-04,202305,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,5,41.0,13.0
88,202306-6909,2023-02-11,202306,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,6,3.0,9.0
89,202307-6909,2023-02-18,202307,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,7,40.0,18.0
90,202308-6909,2023-02-25,202308,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,8,0.0,17.0
91,202309-6909,2023-03-04,202309,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,9,49.0,36.0
92,202310-6909,2023-03-11,202310,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,10,4.0,15.0
93,202311-6909,2023-03-18,202311,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,11,6.0,26.0
94,202312-6909,2023-03-25,202312,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,12,3.0,33.0
95,202313-6909,2023-04-01,202313,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,13,40.0,32.0
96,202314-6909,2023-04-08,202314,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,14,0.0,23.0
97,202315-6909,2023-04-15,202315,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,15,1.0,50.0
98,202316-6909,2023-04-22,202316,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,16,0.0,27.0
99,202317-6909,2023-04-29,202317,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,17,0.0,97.0
100,202318-6909,2023-05-06,202318,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,18,2.0,31.0
101,202119-7896,2021-05-15,202119,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,19,8.0,85.0
102,202120-7896,2021-05-22,202120,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,20,8.0,72.0
103,202121-7896,2021-05-29,202121,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,21,0.0,34.0
104,202122-7896,2021-06-05,202122,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,22,27.0,33.0
105,202123-7896,2021-06-12,202123,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,23,12.0,15.0
106,202124-7896,2021-06-19,202124,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,24,0.0,38.0
107,202125-7896,2021-06-26,202125,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,25,19.0,6.0
108,202126-7896,2021-07-03,202126,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,26,2.0,2.0
109,202127-7896,2021-07-10,202127,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,27,1.0,40.0
110,202128-7896,2021-07-17,202128,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,28,11.0,1.0
111,202129-7896,2021-07-24,202129,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,29,0.0,0.0
112,202130-7896,2021-07-31,202130,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,30,2.0,37.0
113,202131-7896,2021-08-07,202131,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,31,0.0,2.0
114,202132-7896,2021-08-14,202132,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,32,20.0,30.0
115,202133-7896,2021-08-21,202133,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,33,0.0,5.0
116,202134-7896,2021-08-28,202134,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,34,14.0,20.0
117,202135-7896,2021-09-04,202135,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,35,0.0,11.0
118,202136-7896,2021-09-11,202136,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,36,3.0,16.0
119,202137-7896,2021-09-18,202137,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,37,58.0,26.0
120,202138-7896,2021-09-25,202138,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,38,1.0,14.0
121,202139-7896,2021-10-02,202139,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,39,8.0,19.0
122,202140-7896,2021-10-09,202140,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,40,0.0,13.0
123,202141-7896,2021-10-16,202141,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,41,0.0,25.0
124,202142-7896,2021-10-23,202142,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,42,0.0,13.0
125,202143-7896,2021-10-30,202143,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,43,78.0,46.0
126,202144-7896,2021-11-06,202144,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,44,0.0,70.0
127,202146-7896,2021-11-20,202146,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,46,0.0,94.0
128,202147-7896,2021-11-27,202147,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,47,0.0,15.0
129,202148-7896,2021-12-04,202148,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,48,0.0,142.0
130,202149-7896,2021-12-11,202149,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,49,1.0,17.0
131,202150-7896,2021-12-18,202150,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,50,34.0,90.0
132,202151-7896,2021-12-25,202151,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,51,88.5,23.0
133,202152-7896,2022-01-01,202152,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,52,143.0,58.0
134,202201-7896,2022-01-08,202201,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,1,0.0,32.0
135,202202-7896,2022-01-15,202202,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,2,16.0,62.0
136,202203-7896,2022-01-22,202203,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,3,10.0,26.0
137,202204-7896,2022-01-29,202204,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,4,0.0,17.0
138,202205-7896,2022-02-05,202205,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,5,0.0,31.0
139,202206-7896,2022-02-12,202206,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,6,4.5,64.0
140,202207-7896,2022-02-19,202207,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,7,9.0,55.0
141,202208-7896,2022-02-26,202208,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,8,4.0,49.0
142,202209-7896,2022-03-05,202209,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,9,0.0,71.0
143,202210-7896,2022-03-12,202210,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,10,7.0,93.0
144,202211-7896,2022-03-19,202211,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,11,22.0,62.0
145,202212-7896,2022-03-26,202212,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,12,4.0,69.0
146,202213-7896,2022-04-02,202213,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,13,24.0,33.0
147,202214-7896,2022-04-09,202214,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,14,10.0,17.0
148,202215-7896,2022-04-16,202215,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,15,4.0,12.0
149,202216-7896,2022-04-23,202216,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,16,0.0,16.0
150,202217-7896,2022-04-30,202217,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,17,1.0,31.0
151,202219-7896,2022-05-14,202219,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,19,4.0,38.0
152,202220-7896,2022-05-21,202220,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,20,0.0,68.0
153,202221-7896,2022-05-28,202221,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,21,11.0,140.0
154,202223-7896,2022-06-11,202223,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,23,11.0,164.0
155,202224-7896,2022-06-18,202224,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,24,48.0,130.0
156,202225-7896,2022-06-25,202225,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,25,0.0,171.0
157,202226-7896,2022-07-02,202226,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,26,12.0,153.0
158,202227-7896,2022-07-09,202227,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,27,42.0,91.0
159,202228-7896,2022-07-16,202228,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,28,10.0,82.0
160,202229-7896,2022-07-23,202229,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,29,126.0,75.0
161,202230-7896,2022-07-30,202230,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,30,24.0,43.0
162,202231-7896,2022-08-06,202231,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,31,28.0,38.0
163,202232-7896,2022-08-13,202232,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,32,19.0,55.0
164,202233-7896,2022-08-20,202233,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,33,18.0,57.0
165,202234-7896,2022-08-27,202234,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,34,26.0,40.5
166,202235-7896,2022-09-03,202235,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,35,18.0,24.0
167,202236-7896,2022-09-10,202236,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,36,11.0,34.0
168,202237-7896,2022-09-17,202237,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,37,22.0,21.0
169,202238-7896,2022-09-24,202238,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,38,3.0,16.0
170,202239-7896,2022-10-01,202239,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,39,0.0,22.0
171,202240-7896,2022-10-08,202240,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,40,2.0,42.0
172,202241-7896,2022-10-15,202241,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,41,5.0,60.0
173,202242-7896,2022-10-22,202242,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,42,0.0,116.0
174,202243-7896,2022-10-29,202243,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,43,1.0,118.0
175,202244-7896,2022-11-05,202244,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,44,0.0,136.0
176,202245-7896,2022-11-12,202245,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,45,1.0,180.0
177,202246-7896,2022-11-19,202246,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,46,59.0,91.0
178,202247-7896,2022-11-26,202247,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,47,26.0,51.0
179,202248-7896,2022-12-03,202248,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,48,5.0,43.0
180,202249-7896,2022-12-10,202249,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,49,8.0,61.0
181,202250-7896,2022-12-17,202250,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,50,7.0,55.0
182,202251-7896,2022-12-24,202251,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,51,0.0,84.0
183,202252-7896,2022-12-31,202252,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,52,10.0,76.0
184,202301-7896,2023-01-07,202301,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,1,2.0,115.0
185,202302-7896,2023-01-14,202302,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,2,0.0,121.0
186,202303-7896,2023-01-21,202303,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,3,16.0,97.0
187,202304-7896,2023-01-28,202304,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,4,28.0,55.0
188,202305-7896,2023-02-04,202305,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,5,4.0,48.0
189,202306-7896,2023-02-11,202306,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,6,0.0,62.0
190,202307-7896,2023-02-18,202307,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,7,0.0,115.0
191,202308-7896,2023-02-25,202308,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,8,0.0,1.0
192,202309-7896,2023-03-04,202309,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,9,16.0,90.0
193,202310-7896,2023-03-11,202310,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,10,41.0,2.0
194,202311-7896,2023-03-18,202311,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,11,0.0,119.0
195,202312-7896,2023-03-25,202312,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,12,0.0,6.0
196,202313-7896,2023-04-01,202313,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,13,3.0,161.0
197,202314-7896,2023-04-08,202314,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,14,0.0,14.0
198,202315-7896,2023-04-15,202315,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,15,5.0,30.0
199,202316-7896,2023-04-22,202316,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,16,0.0,66.0
200,202317-7896,2023-04-29,202317,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,17,11.0,139.0
201,202318-7896,2023-05-06,202318,7896,0,1,0,0,0,0,0,2,14.0,0,1,0,18,46.0,69.0
202,202119-8883,2021-05-15,202119,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,19,32.0,112.0
203,202120-8883,2021-05-22,202120,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,20,20.0,39.0
204,202121-8883,2021-05-29,202121,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,21,0.0,115.0
205,202122-8883,2021-06-05,202122,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,22,26.0,33.0
206,202123-8883,2021-06-12,202123,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,23,41.0,59.0
207,202124-8883,2021-06-19,202124,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,24,0.0,49.5
208,202125-8883,2021-06-26,202125,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,25,12.0,40.0
209,202126-8883,2021-07-03,202126,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,26,17.0,21.0
210,202127-8883,2021-07-10,202127,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,27,0.0,44.0
211,202128-8883,2021-07-17,202128,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,28,8.0,9.0
212,202129-8883,2021-07-24,202129,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,29,2.0,76.0
213,202130-8883,2021-07-31,202130,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,30,4.0,3.0
214,202131-8883,2021-08-07,202131,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,31,0.0,99.0
215,202132-8883,2021-08-14,202132,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,32,55.0,2.0
216,202133-8883,2021-08-21,202133,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,33,14.0,78.0
217,202134-8883,2021-08-28,202134,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,34,25.0,2.0
218,202135-8883,2021-09-04,202135,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,35,0.0,90.0
219,202136-8883,2021-09-11,202136,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,36,11.0,6.0
220,202137-8883,2021-09-18,202137,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,37,22.0,59.0
221,202138-8883,2021-09-25,202138,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,38,0.0,14.0
222,202139-8883,2021-10-02,202139,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,39,42.0,33.0
223,202140-8883,2021-10-09,202140,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,40,0.0,64.0
224,202141-8883,2021-10-16,202141,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,41,0.0,72.0
225,202142-8883,2021-10-23,202142,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,42,2.0,107.0
226,202143-8883,2021-10-30,202143,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,43,7.0,120.0
227,202144-8883,2021-11-06,202144,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,44,0.0,133.0
228,202145-8883,2021-11-13,202145,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,45,0.0,87.0
229,202146-8883,2021-11-20,202146,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,46,3.0,171.0
230,202147-8883,2021-11-27,202147,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,47,0.0,165.0
231,202148-8883,2021-12-04,202148,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,48,0.0,179.0
232,202149-8883,2021-12-11,202149,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,49,37.0,115.0
233,202150-8883,2021-12-18,202150,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,50,32.0,130.0
234,202151-8883,2021-12-25,202151,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,51,6.0,113.0
235,202152-8883,2022-01-01,202152,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,52,68.0,85.0
236,202201-8883,2022-01-08,202201,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,1,3.0,111.0
237,202202-8883,2022-01-15,202202,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,2,55.0,90.0
238,202203-8883,2022-01-22,202203,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,3,15.0,88.0
239,202204-8883,2022-01-29,202204,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,4,0.0,150.0
240,202205-8883,2022-02-05,202205,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,5,0.0,226.0
241,202206-8883,2022-02-12,202206,8883,0,1,0,0,0,0,0,3,15.6,0,1,0,6,22.0,58.0
